sample_id	TCGA-A7-A13E-01A-11R-A12P-07	TCGA-A8-A08H-01A-21R-A00Z-07	TCGA-A8-A07U-01A-11R-A034-07	TCGA-BH-A0E0-01A-11R-A056-07	TCGA-A2-A04T-01A-21R-A034-07	TCGA-BH-A18K-01A-11R-A12D-07	TCGA-AQ-A04J-01A-02R-A034-07	TCGA-A1-A0SK-01A-12R-A084-07	TCGA-A7-A0DA-01A-31R-A115-07	TCGA-AR-A1AI-01A-11R-A12P-07	TCGA-E2-A14X-01A-11R-A115-07	TCGA-A2-A0D0-01A-11R-A00Z-07	TCGA-AN-A0FX-01A-11R-A034-07	TCGA-E2-A14Y-01A-21R-A12D-07	TCGA-AR-A0TU-01A-31R-A109-07	TCGA-D8-A143-01A-11R-A115-07	TCGA-AR-A0U4-01A-11R-A109-07	TCGA-AR-A0U0-01A-11R-A109-07	TCGA-A2-A0SX-01A-12R-A084-07	TCGA-B6-A0I6-01A-11R-A034-07	TCGA-E2-A159-01A-11R-A115-07	TCGA-BH-A0B9-01A-11R-A056-07	TCGA-E2-A150-01A-11R-A12D-07	TCGA-A8-A07R-01A-21R-A034-07	TCGA-AO-A0JL-01A-11R-A056-07	TCGA-AN-A0G0-01A-11R-A034-07	TCGA-BH-A0BL-01A-11R-A115-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-BH-A0E6-01A-11R-A034-07	TCGA-BH-A0RX-01A-21R-A084-07	TCGA-B6-A0IQ-01A-11R-A034-07	TCGA-AR-A1AJ-01A-21R-A12P-07	TCGA-B6-A0RT-01A-21R-A084-07	TCGA-BH-A0HN-01A-11R-A10U-07	TCGA-E2-A14N-01A-31R-A137-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-AN-A0AL-01A-11R-A00Z-07	TCGA-E2-A158-01A-11R-A12D-07	TCGA-A8-A08R-01A-11R-A034-07	TCGA-A7-A0CE-01A-11R-A00Z-07	TCGA-D8-A142-01A-11R-A115-07	TCGA-AO-A128-01A-11R-A10J-07	TCGA-A7-A13D-01A-13R-A12P-07	TCGA-AO-A129-01A-21R-A10J-07	TCGA-E2-A14R-01A-11R-A115-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-A2-A0YE-01A-11R-A109-07	TCGA-AR-A1AH-01A-11R-A12D-07	TCGA-AN-A0AT-01A-11R-A034-07	TCGA-AO-A124-01A-11R-A10J-07	TCGA-BH-A18G-01A-11R-A12D-07	TCGA-B6-A0WX-01A-11R-A109-07	TCGA-D8-A147-01A-11R-A115-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-AO-A0J4-01A-11R-A034-07	TCGA-BH-A18Q-01A-12R-A12D-07	TCGA-AR-A1AQ-01A-11R-A12P-07	TCGA-BH-A0B3-01A-11R-A056-07	TCGA-A2-A0YJ-01A-11R-A109-07	TCGA-C8-A12V-01A-11R-A115-07	TCGA-A2-A0T0-01A-22R-A084-07	TCGA-A2-A04U-01A-11R-A115-07	TCGA-AR-A1AR-01A-31R-A137-07	TCGA-B6-A0I2-01A-11R-A034-07	TCGA-C8-A12K-01A-21R-A115-07	TCGA-AN-A0XU-01A-11R-A109-07	TCGA-E2-A1B5-01A-21R-A12P-07	TCGA-BH-A0BG-01A-11R-A115-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-C8-A134-01A-11R-A115-07	TCGA-A8-A07O-01A-11R-A00Z-07	TCGA-C8-A131-01A-11R-A115-07	TCGA-BH-A0AV-01A-31R-A115-07	TCGA-BH-A1F0-01A-11R-A137-07	TCGA-A2-A04P-01A-31R-A034-07	TCGA-A8-A07C-01A-11R-A034-07	TCGA-AR-A0TP-01A-11R-A084-07	TCGA-A1-A0SO-01A-22R-A084-07	TCGA-AO-A0J6-01A-11R-A034-07	TCGA-AO-A12F-01A-11R-A115-07	TCGA-E2-A1AZ-01A-11R-A12P-07	TCGA-AN-A0AR-01A-11R-A00Z-07	TCGA-A2-A0YM-01A-11R-A109-07	TCGA-B6-A0RE-01A-11R-A056-07	TCGA-B6-A0RU-01A-11R-A084-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-BH-A0WA-01A-11R-A109-07	TCGA-A2-A04Q-01A-21R-A034-07	TCGA-AN-A0FL-01A-11R-A034-07	TCGA-B6-A0IJ-01A-11R-A034-07	TCGA-A2-A0D2-01A-21R-A034-07	TCGA-AR-A0TS-01A-11R-A115-07	TCGA-A2-A0ST-01A-12R-A084-07	TCGA-BH-A0HL-01A-11R-A10U-07	TCGA-AN-A04D-01A-21R-A034-07	TCGA-A2-A0CM-01A-31R-A034-07	TCGA-AR-A1AY-01A-21R-A12P-07	TCGA-E2-A154-01A-11R-A115-07	TCGA-B6-A0IO-01A-11R-A034-07	TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-AO-A0J9-01A-11R-A034-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-E2-A106-01A-11R-A10J-07	TCGA-A2-A04V-01A-21R-A034-07	TCGA-AO-A0JJ-01A-11R-A056-07	TCGA-AR-A1AS-01A-11R-A12P-07	TCGA-A8-A09B-01A-11R-A00Z-07	TCGA-B6-A0IN-01A-11R-A034-07	TCGA-A2-A04N-01A-11R-A115-07	TCGA-BH-A0W5-01A-11R-A109-07	TCGA-A8-A0A4-01A-11R-A00Z-07	TCGA-AR-A1AN-01A-11R-A12P-07	TCGA-A2-A04Y-01A-21R-A034-07	TCGA-A2-A0EU-01A-22R-A056-07	TCGA-BH-A0H5-01A-21R-A115-07	TCGA-A2-A0ES-01A-11R-A115-07	TCGA-A1-A0SJ-01A-11R-A084-07	TCGA-AO-A0J8-01A-21R-A034-07	TCGA-C8-A132-01A-31R-A115-07	TCGA-A8-A086-01A-11R-A00Z-07	TCGA-AN-A0XP-01A-11R-A109-07	TCGA-A2-A0CU-01A-12R-A034-07	TCGA-BH-A18T-01A-11R-A12D-07	TCGA-A8-A07J-01A-11R-A00Z-07	TCGA-B6-A0WY-01A-11R-A109-07	TCGA-AN-A04A-01A-21R-A034-07	TCGA-A2-A0YI-01A-31R-A10J-07	TCGA-A8-A09V-01A-11R-A034-07	TCGA-B6-A0X4-01A-11R-A109-07	TCGA-BH-A0B0-01A-21R-A115-07	TCGA-AN-A0XO-01A-11R-A109-07	TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-A7-A0CD-01A-11R-A00Z-07	TCGA-B6-A0RN-01A-12R-A084-07	TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A1ES-01A-11R-A137-07	TCGA-A8-A07F-01A-11R-A00Z-07	TCGA-BH-A0GY-01A-11R-A056-07	TCGA-BH-A18I-01A-11R-A12D-07	TCGA-AR-A1AP-01A-11R-A12P-07	TCGA-A2-A0YD-01A-11R-A109-07	TCGA-E2-A15J-01A-11R-A12P-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-B6-A0I8-01A-11R-A034-07	TCGA-BH-A0HP-01A-12R-A084-07	TCGA-BH-A0BV-01A-11R-A00Z-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-A7-A0DB-01A-11R-A00Z-07	TCGA-BH-A1EU-01A-11R-A137-07	TCGA-BH-A0H9-01A-11R-A056-07	TCGA-AN-A0XT-01A-11R-A109-07	TCGA-A8-A0AD-01A-11R-A056-07	TCGA-A2-A0YL-01A-21R-A109-07	TCGA-A8-A0A1-01A-11R-A00Z-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-BH-A0DX-01A-11R-A115-07	TCGA-A8-A099-01A-11R-A00Z-07	TCGA-E2-A10F-01A-11R-A10J-07	TCGA-A2-A0T6-01A-11R-A084-07	TCGA-E2-A1B4-01A-11R-A12P-07	TCGA-BH-A0DI-01A-21R-A12P-07	TCGA-A8-A0A6-01A-12R-A056-07	TCGA-D8-A145-01A-11R-A115-07	TCGA-AN-A0XN-01A-21R-A109-07	TCGA-A2-A0CZ-01A-11R-A034-07	TCGA-AN-A0FT-01A-11R-A034-07	TCGA-BH-A0E7-01A-11R-A034-07	TCGA-A1-A0SD-01A-11R-A115-07	TCGA-BH-A0DT-01A-21R-A12D-07	TCGA-BH-A18H-01A-11R-A12D-07	TCGA-AR-A1AL-01A-21R-A12P-07	TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-A8-A06U-01A-11R-A00Z-07	TCGA-BH-A18M-01A-11R-A12D-07	TCGA-C8-A12N-01A-11R-A115-07	TCGA-A8-A090-01A-11R-A00Z-07	TCGA-BH-A0W7-01A-11R-A115-07	TCGA-A2-A0SU-01A-11R-A084-07	TCGA-B6-A0RI-01A-11R-A056-07	TCGA-B6-A0RM-01A-11R-A084-07	TCGA-B6-A0RG-01A-11R-A056-07	TCGA-E2-A15I-01A-21R-A137-07	TCGA-AO-A12C-01A-11R-A10J-07	TCGA-A8-A09A-01A-11R-A00Z-07	TCGA-E2-A153-01A-12R-A12D-07	TCGA-E2-A1B1-01A-21R-A12P-07	TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0E2-01A-11R-A056-07	TCGA-A2-A0CP-01A-11R-A034-07	TCGA-C8-A12O-01A-11R-A115-07	TCGA-AR-A1AU-01A-11R-A12P-07	TCGA-A1-A0SH-01A-11R-A084-07	TCGA-A7-A0CG-01A-12R-A056-07	TCGA-AN-A0FD-01A-11R-A034-07	TCGA-AO-A12H-01A-11R-A115-07	TCGA-A2-A0YC-01A-11R-A109-07	TCGA-BH-A0DS-01A-11R-A056-07	TCGA-AR-A1AW-01A-21R-A12P-07	TCGA-A2-A0CQ-01A-21R-A034-07	TCGA-BH-A0HI-01A-11R-A084-07	TCGA-A1-A0SE-01A-11R-A084-07	TCGA-BH-A0EA-01A-11R-A115-07	TCGA-BH-A0BO-01A-23R-A12D-07	TCGA-E2-A105-01A-11R-A10J-07	TCGA-E2-A10E-01A-21R-A10J-07	TCGA-A2-A0CV-01A-31R-A115-07	TCGA-E2-A15E-01A-11R-A12D-07	TCGA-BH-A18N-01A-11R-A12D-07	TCGA-AR-A1AK-01A-21R-A12P-07	TCGA-A8-A093-01A-11R-A00Z-07	TCGA-BH-A0DO-01B-11R-A12D-07	TCGA-E2-A15F-01A-11R-A115-07	TCGA-BH-A0BR-01A-21R-A115-07	TCGA-AO-A03M-01B-11R-A10J-07	TCGA-B6-A0IA-01A-11R-A034-07	TCGA-BH-A0HQ-01A-11R-A034-07	TCGA-B6-A0I5-01A-11R-A034-07	TCGA-BH-A0GZ-01A-11R-A056-07	TCGA-AO-A12A-01A-21R-A115-07	TCGA-AN-A046-01A-21R-A034-07	TCGA-B6-A0RV-01A-11R-A084-07	TCGA-B6-A0RQ-01A-11R-A115-07	TCGA-D8-A141-01A-11R-A115-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-E2-A14Q-01A-11R-A12D-07	TCGA-A2-A0YF-01A-21R-A109-07	TCGA-A7-A0CH-01A-21R-A00Z-07	TCGA-E2-A15P-01A-11R-A115-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-BH-A0HX-01A-21R-A056-07	TCGA-BH-A1EO-01A-11R-A137-07	TCGA-C8-A12Y-01A-11R-A12D-07	TCGA-B6-A0IH-01A-11R-A115-07	TCGA-B6-A0WT-01A-11R-A109-07	TCGA-BH-A0DE-01A-11R-A115-07	TCGA-E2-A156-01A-11R-A12D-07	TCGA-BH-A0B4-01A-11R-A00Z-07	TCGA-BH-A0DP-01A-21R-A056-07	TCGA-A8-A091-01A-11R-A00Z-07	TCGA-A2-A0EN-01A-13R-A084-07	TCGA-BH-A0HB-01A-11R-A056-07	TCGA-AN-A0XS-01A-22R-A109-07	TCGA-E2-A15O-01A-11R-A115-07	TCGA-AR-A0TR-01A-11R-A084-07	TCGA-BH-A0B1-01A-12R-A056-07	TCGA-A8-A08Z-01A-21R-A00Z-07	TCGA-BH-A0DH-01A-11R-A084-07	TCGA-B6-A0RO-01A-22R-A084-07	TCGA-B6-A0X0-01A-21R-A115-07	TCGA-A8-A06T-01A-11R-A00Z-07	TCGA-AR-A0TW-01A-11R-A084-07	TCGA-BH-A0BM-01A-11R-A056-07	TCGA-A2-A0SY-01A-31R-A084-07	TCGA-A8-A07P-01A-11R-A00Z-07	TCGA-AQ-A04L-01B-21R-A10J-07	TCGA-A8-A0A2-01A-11R-A034-07	TCGA-E2-A15R-01A-11R-A115-07	TCGA-A2-A0T5-01A-21R-A084-07	TCGA-BH-A0BP-01A-11R-A115-07	TCGA-AO-A125-01A-11R-A10J-07	TCGA-AO-A0JG-01A-31R-A084-07	TCGA-A8-A08C-01A-11R-A00Z-07	TCGA-BH-A0HO-01A-11R-A034-07	TCGA-C8-A133-01A-32R-A12D-07	TCGA-E2-A14Z-01A-11R-A115-07	TCGA-A8-A06Y-01A-21R-A00Z-07	TCGA-E2-A15C-01A-31R-A12D-07	TCGA-AN-A0FS-01A-11R-A034-07	TCGA-E2-A10B-01A-11R-A10J-07	TCGA-A2-A0D3-01A-11R-A115-07	TCGA-A2-A0T7-01A-21R-A084-07	TCGA-C8-A1HI-01A-11R-A137-07	TCGA-A8-A08A-01A-11R-A32Y-07	TCGA-AN-A0FW-01A-11R-A034-07	TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-A8-A083-01A-21R-A00Z-07	TCGA-A2-A0EW-01A-21R-A115-07	TCGA-AO-A126-01A-11R-A10J-07	TCGA-BH-A0BC-01A-22R-A084-07	TCGA-AN-A0FZ-01A-11R-A034-07	TCGA-AO-A03V-01A-11R-A115-07	TCGA-AO-A12G-01A-11R-A10J-07	TCGA-AO-A0JA-01A-11R-A056-07	TCGA-BH-A0H3-01A-11R-A12P-07	TCGA-A2-A0EV-01A-11R-A034-07	TCGA-BH-A0C1-01B-11R-A12D-07	TCGA-AR-A1AX-01A-11R-A12P-07	TCGA-A2-A0EX-01A-21R-A034-07	TCGA-BH-A1ET-01A-11R-A137-07	TCGA-AO-A0JF-01A-11R-A056-07	TCGA-B6-A0WS-01A-11R-A115-07	TCGA-E2-A15G-01A-11R-A12D-07	TCGA-BH-A0DK-01A-21R-A056-07	TCGA-BH-A0H6-01A-21R-A056-07	TCGA-AN-A0FN-01A-11R-A034-07	TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A18S-01A-11R-A12D-07	TCGA-B6-A0WZ-01A-11R-A109-07	TCGA-A8-A07G-01A-11R-A034-07	TCGA-A2-A0EM-01A-11R-A034-07	TCGA-BH-A0H7-01A-13R-A056-07	TCGA-E2-A15D-01A-11R-A115-07	TCGA-E2-A1BD-01A-11R-A12P-07	TCGA-A8-A06P-01A-11R-A00Z-07	TCGA-E2-A15H-01A-11R-A12D-07	TCGA-BH-A0EI-01A-11R-A115-07	TCGA-A8-A07E-01A-11R-A034-07	TCGA-E2-A14T-01A-11R-A115-07	TCGA-BH-A0E9-01B-11R-A115-07	TCGA-BH-A0EB-01A-11R-A034-07	TCGA-BH-A0E1-01A-11R-A056-07	TCGA-BH-A0W4-01A-11R-A109-07	TCGA-E2-A1B6-01A-31R-A12P-07	TCGA-AN-A0XL-01A-11R-A10J-07	TCGA-BH-A0BQ-01A-21R-A115-07	TCGA-AO-A12E-01A-11R-A10J-07	TCGA-A2-A0EO-01A-11R-A034-07	TCGA-B6-A0IP-01A-11R-A034-07	TCGA-A8-A09T-01A-11R-A00Z-07	TCGA-AN-A03X-01A-21R-A00Z-07	TCGA-BH-A0HF-01A-11R-A056-07	TCGA-B6-A0IG-01A-11R-A034-07	TCGA-AN-A0XV-01A-11R-A109-07	TCGA-B6-A0RP-01A-21R-A084-07	TCGA-B6-A0X7-01A-11R-A10J-07	TCGA-BH-A0HK-01A-11R-A056-07	TCGA-A2-A0ET-01A-31R-A034-07
class	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Basal-like	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A	Luminal A
NAT1	3.59727	7.2052	5.12902	4.82895	4.79575	10.1133	6.60699	2.59515	6.09316	6.76681	4.91686	5.57108	4.86147	3.66065	4.68538	6.09457	8.47517	4.99638	5.63842	4.43973	7.69908	7.00709	4.83386	5.62408	7.16429	4.42743	7.77036	5.0871	7.32924	7.83876	5.69183	6.39497	6.73965	13.7348	5.67337	6.44047	7.06013	5.46545	5.96591	6.38163	6.35772	6.77184	5.98998	5.8325	6.08639	4.37906	6.20706	7.89955	4.85608	5.36047	6.27146	7.25089	6.03127	6.06803	4.88515	6.32575	5.21556	6.80177	4.0761	7.41367	6.09102	6.32141	6.60206	5.77252	6.75532	6.85914	10.2338	6.04558	5.22566	5.53356	7.27061	7.1251	4.53372	6.46469	6.28102	6.17546	2.685	5.91833	6.02422	5.0438	7.01438	4.4301	4.63542	6.53051	6.24542	6.07931	5.08065	5.36135	6.29248	5.18255	4.38952	5.97467	7.75884	8.04102	3.80293	5.82894	3.97236	13.2257	10.2645	7.12344	11.2243	11.9719	11.1907	11.2731	10.7708	9.98784	13.3846	11.1808	10.4642	7.16313	9.58068	11.4563	12.3195	7.39469	12.232	9.36155	8.17251	13.3288	9.96778	10.6225	14.05	7.69478	5.21777	11.8753	10.1872	11.3405	12.5139	12.7415	12.3258	11.4195	12.7234	11.3836	10.9929	13.0191	11.0446	6.59845	13.2143	10.6116	11.2163	10.3499	12.5892	12.2339	13.9648	10.355	12.1705	9.10604	9.23159	10.6222	12.3081	13.7436	12.0592	8.14757	9.62352	10.0096	13.3728	7.7067	13.1339	14.2701	11.3547	11.046	13.5953	9.04666	11.3618	10.3936	6.94884	7.20154	8.25415	10.236	10.8403	13.9561	11.551	11.4547	11.277	10.3974	10.6285	12.6909	9.4361	11.2	7.49937	10.5503	8.22865	11.6563	13.2085	11.0728	8.03834	11.3483	7.5227	12.1469	9.13097	10.5556	7.0309	7.33414	8.69906	13.4134	9.51003	9.93583	12.8134	12.9732	10.1212	13.8364	14.0064	11.9715	12.4289	11.9787	11.748	13.538	13.5924	10.3326	9.57718	9.09661	13.7407	11.6247	8.88942	9.30845	9.98655	10.3865	12.8297	13.9295	12.6773	13.4367	13.0514	11.8471	7.40968	12.7977	13.9451	12.8261	12.4406	13.9666	13.3347	9.93521	10.1715	10.8161	10.4427	11.587	11.646	12.0076	12.8706	11.7182	11.8527	7.1423	11.8425	10.8769	11.9492	11.9277	13.0529	10.8733	8.75207	12.09	13.0993	11.8249	11.3135	9.4571	12.7466	12.4834	11.7538	7.83012	13.3809	10.4864	12.9134	12.5466	13.8958	7.91779	13.7459	13.206	7.13259	10.7848	12.2354	12.2586	10.5753	12.7699	14.5245	8.90847	11.7858	12.9426	12.1375	13.7989	11.8082	11.9531	7.83013	12.2824	11.4238	11.1477	11.7224	13.6311	12.8494	10.6877	11.9272	8.84186	9.71854	13.9985	13.4478	9.64554	13.7288	10.5706	8.16842	12.5354	11.8123	9.74094	13.0772	11.942	13.4984	11.0957	13.8852	14.0821	8.44702	11.4563	6.84478	11.444	8.53487	11.8001	13.5225	13.7148	11.0163	6.7291	11.4509	12.444	12.747	12.9168	12.9465	10.1884	13.1863	12.2478	11.2064	10.4554	13.6232	10.5333	11.9222	13.7303
BIRC5	8.38208	8.53294	9.01439	8.74525	10.1728	8.38562	9.3852	9.40988	9.26187	9.72879	8.16211	10.9978	8.67507	10.0907	11.3241	10.332	9.38954	8.84201	7.9165	8.95884	8.9104	10.2382	8.46744	11.0621	9.53513	9.57486	9.03905	8.24121	10.3443	10.8215	9.96716	9.19874	9.2451	6.6299	10.4579	9.73368	10.2856	8.54969	10.267	10.1316	8.83027	8.36718	10.313	9.82764	9.78964	9.48983	9.87151	10.8585	10.5273	9.35213	10.3548	8.29046	9.84041	8.29078	9.28679	9.19212	10.1569	10.9194	9.40675	9.62802	10.286	11.0082	8.73541	9.37694	10.4089	10.6167	7.51679	9.3892	10.6533	10.9601	10.7391	9.77814	9.90162	9.55388	11.5713	10.1778	9.75817	10.6315	10.6511	9.98161	9.67617	10.7734	10.5091	10.174	9.92915	9.98097	9.78889	9.69219	9.76047	10.4017	10.8177	9.78566	8.58896	8.20042	11.2173	9.95946	9.53365	7.95658	8.26363	7.73463	7.84126	7.37731	7.36349	8.7484	7.81078	8.08713	6.73901	9.2245	7.13935	6.09253	8.02585	7.40126	8.8312	8.28444	6.88729	6.50421	8.37421	7.29136	6.92973	8.72792	6.61807	8.40832	9.62802	6.07116	7.21541	7.4797	5.48105	6.9843	6.02504	6.51348	7.93061	7.78047	8.14168	6.04951	7.9417	9.26909	7.40226	8.69631	7.26372	8.0031	6.79971	7.69951	7.16074	9.53055	7.75115	7.82673	7.55923	7.99846	7.33705	5.71288	8.82431	6.62177	7.16444	8.2723	7.33868	6.42568	8.6172	6.24608	8.08874	5.12926	5.79462	7.36328	6.33994	6.53956	8.048	6.97608	7.40872	7.17536	7.39422	7.031	7.55223	6.33792	4.01179	8.75633	7.57003	6.63876	8.76937	8.16788	9.18736	9.69378	7.71919	9.0185	3.59133	6.62813	8.09509	6.62819	9.0393	8.00986	9.94855	5.20049	8.658	8.31956	7.41558	7.26125	8.41251	7.70834	7.99052	6.32178	8.08714	8.24509	6.57879	8.1064	5.69476	4.70906	9.50191	7.56515	3.24682	7.87283	6.98695	8.69035	7.85144	4.86154	8.17312	8.35555	8.95224	8.21016	7.05779	8.76599	8.25658	6.84966	7.93863	7.5809	5.81399	6.93785	7.70023	8.10222	8.5025	6.88568	6.29678	7.35009	9.12791	6.79254	8.95625	4.28812	7.66088	7.48151	7.43363	9.94164	6.55084	7.08883	6.62694	9.39371	6.61299	8.49625	6.13851	8.47584	7.36373	7.51803	6.81264	8.06569	7.50115	7.76938	5.01001	7.7707	8.95199	8.18176	7.06898	8.33897	8.01306	7.15765	7.81563	5.22526	7.20393	7.17981	7.65245	7.66995	6.73798	5.84659	6.71826	7.34611	4.78305	7.71719	7.70953	7.30624	8.36303	6.86146	5.18309	6.12528	8.75171	8.03976	7.88603	6.33873	7.94806	8.77425	6.12114	8.89655	7.27841	8.07975	6.18672	5.91736	6.78328	8.0329	6.17231	9.20778	6.16001	7.24061	7.83664	6.12939	8.36232	7.36831	7.40718	8.56995	5.77537	7.85632	6.71604	9.27684	6.71596	8.41472	7.60897	6.51982	6.9568	8.91842	7.66371	10.074	7.49767	7.05865	8.39563	7.02236	7.82759	7.31434	8.34027	8.30837	8.07246	7.66668	6.15863	6.69209	8.26247	7.38246
